The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
The Waterfront Restaurant & Tavern, 328 Front St S, 4.5 star rating, 226, American (New);Seafood;Steakhouses
Buzzard Billy’s, 222 Pearl St, 4 star rating, 276, American (Traditional);Cajun/Creole
Dublin Square Irish Pub & Eatery, 103 3rd St N, 4 star rating, 207, Irish Pub
Lovechild Restaurant, 300 3rd St S, 4.5 star rating, 109, American (New)
The Charmant, 101 State St, 4.5 star rating, 149, French;Cocktail Bars
The Pearl Ice Cream Parlor & Confectionery, 207 Pearl St, 4.5 star rating, 92, Candy Stores;Ice Cream & Frozen Yogurt;Chocolatiers & Shops
The Root Note, 115 4th St S, 4.5 star rating, 80, Music Venues;Coffee & Tea;Creperies
Grounded Patio Cafe, 308 Main St, 4.5 star rating, 52, Coffee & Tea;Beer Bar;Wine Bars
Greengrass Cafe, 1904 Campbell Rd, 4 star rating, 96, Breakfast & Brunch;Bars
Le Chateau, 410 Cass St, 4.5 star rating, 51, French;Wine Bars;Cocktail Bars
